name,zipcode,inspection_date,score,address,city,state,lat,lon,facility_id,description
15th Street Cafe,78701,09/13/2012,93,303 W 15TH ST,AUSTIN,78701,30.277553492000038,-97.74209889799994,2801033,Routine Inspection
15th Street Cafe,78701,06/18/2014,97,303 W 15TH ST,AUSTIN,78701,30.277553492000038,-97.74209889799994,2801033,Routine Inspection
15th Street Cafe,78701,12/02/2014,93,303 W 15TH ST,AUSTIN,78701,30.277553492000038,-97.74209889799994,2801033,Routine Inspection
15th Street Cafe,78701,12/05/2013,97,303 W 15TH ST,AUSTIN,78701,30.277553492000038,-97.74209889799994,2801033,Routine Inspection
15th Street Cafe,78701,05/22/2013,91,303 W 15TH ST,AUSTIN,78701,30.277553492000038,-97.74209889799994,2801033,Routine Inspection
1st Food Mart,78704,06/17/2013,100,1410 S 1ST ST,AUSTIN,78704,30.25030317900007,-97.75485926699997,10677646,Routine Inspection
1st Food Mart,78704,01/16/2014,90,1410 S 1ST ST,AUSTIN,78704,30.25030317900007,-97.75485926699997,10677646,Routine Inspection
1st Food Mart,78704,02/09/2015,94,1410 S 1ST ST,AUSTIN,78704,30.25030317900007,-97.75485926699997,10677646,Routine Inspection
1st Food Mart,78704,02/14/2013,97,1410 S 1ST ST,AUSTIN,78704,30.25030317900007,-97.75485926699997,10677646,Routine Inspection
1st Food Mart,78704,07/26/2012,97,1410 S 1ST ST,AUSTIN,78704,30.25030317900007,-97.75485926699997,10677646,Routine Inspection
1st Food Mart,78704,07/29/2014,90,1410 S 1ST ST,AUSTIN,78704,30.25030317900007,-97.75485926699997,10677646,Routine Inspection
1-Stop Food Store,78751,12/23/2014,100,5101 AIRPORT BLVD,AUSTIN,78751,30.31234779400006,-97.71529912799997,10632697,Routine Inspection
1-Stop Food Store,78751,06/26/2013,100,5101 AIRPORT BLVD,AUSTIN,78751,30.31234779400006,-97.71529912799997,10632697,Routine Inspection
1-Stop Food Store,78751,01/08/2014,100,5101 AIRPORT BLVD,AUSTIN,78751,30.31234779400006,-97.71529912799997,10632697,Routine Inspection
1-Stop Food Store,78751,07/11/2014,93,5101 AIRPORT BLVD,AUSTIN,78751,30.31234779400006,-97.71529912799997,10632697,Routine Inspection
1-Stop Food Store,78751,09/13/2012,97,5101 AIRPORT BLVD,AUSTIN,78751,30.31234779400006,-97.71529912799997,10632697,Routine Inspection
219 West ,78701,03/31/2015,79,612 W 6TH ST,AUSTIN,78701,30.269827442000064,-97.74906328899999,10679400,Routine Inspection
219 West ,78701,07/15/2014,74,612 W 6TH ST,AUSTIN,78701,30.269827442000064,-97.74906328899999,10679400,Routine Inspection
219 West ,78701,12/05/2012,86,612 W 6TH ST,AUSTIN,78701,30.269827442000064,-97.74906328899999,10679400,Routine Inspection
21st St. College House,78705,11/07/2012,92,707 W 21ST ST,AUSTIN,78705,30.284073102000036,-97.74591295099998,2800407,Routine Inspection
21st St. College House,78705,08/14/2014,97,707 W 21ST ST,AUSTIN,78705,30.284073102000036,-97.74591295099998,2800407,Routine Inspection
21st St. College House,78705,06/25/2013,91,707 W 21ST ST,AUSTIN,78705,30.284073102000036,-97.74591295099998,2800407,Routine Inspection
21st St. College House,78705,01/22/2014,100,707 W 21ST ST,AUSTIN,78705,30.284073102000036,-97.74591295099998,2800407,Routine Inspection
21st St. College House,78705,03/30/2015,93,707 W 21ST ST,AUSTIN,78705,30.284073102000036,-97.74591295099998,2800407,Routine Inspection
24 Diner,78703,12/23/2014,74,600 N LAMAR BLVD,AUSTIN,78703,30.27176442800004,-97.75393859399998,2800411,Routine Inspection
24 Diner,78703,01/24/2013,79,600 N LAMAR BLVD,AUSTIN,78703,30.27176442800004,-97.75393859399998,2800411,Routine Inspection
24 Diner,78703,02/04/2014,76,600 N LAMAR BLVD,AUSTIN,78703,30.27176442800004,-97.75393859399998,2800411,Routine Inspection
290 West Bar & Grill,78737,08/24/2012,97,12013 W US 290 HWY,AUSTIN,78737,30.210917034000033,-97.96896475099999,2802301,Routine Inspection
290 West Bar & Grill,78737,04/07/2015,97,12013 W US 290 HWY,AUSTIN,78737,30.210917034000033,-97.96896475099999,2802301,Routine Inspection
290 West Bar & Grill,78737,09/17/2013,100,12013 W US 290 HWY,AUSTIN,78737,30.210917034000033,-97.96896475099999,2802301,Routine Inspection
290 West Bar & Grill,78737,10/30/2014,94,12013 W US 290 HWY,AUSTIN,78737,30.210917034000033,-97.96896475099999,2802301,Routine Inspection
290 West Bar & Grill,78737,05/21/2014,100,12013 W US 290 HWY,AUSTIN,78737,30.210917034000033,-97.96896475099999,2802301,Routine Inspection
290 West Bar & Grill,78737,03/13/2013,100,12013 W US 290 HWY,AUSTIN,78737,30.210917034000033,-97.96896475099999,2802301,Routine Inspection
2 Dine 4 Fine Catering,78702,08/17/2012,82,3008 GONZALES ST,AUSTIN,78702,30.259426947000065,-97.70707990099999,2802035,Routine Inspection
2 Dine 4 Fine Catering,78702,12/09/2014,92,3008 GONZALES ST,AUSTIN,78702,30.259426947000065,-97.70707990099999,2802035,Routine Inspection
2 Dine 4 Fine Catering,78702,08/09/2013,93,3008 GONZALES ST,AUSTIN,78702,30.259426947000065,-97.70707990099999,2802035,Routine Inspection
2 Dine 4 Fine Catering,78702,07/24/2014,100,3008 GONZALES ST,AUSTIN,78702,30.259426947000065,-97.70707990099999,2802035,Routine Inspection
2 Dine 4 Fine Catering,78702,02/13/2013,93,3008 GONZALES ST,AUSTIN,78702,30.259426947000065,-97.70707990099999,2802035,Routine Inspection
2 Dine 4 Fine Catering,78702,02/25/2014,93,3008 GONZALES ST,AUSTIN,78702,30.259426947000065,-97.70707990099999,2802035,Routine Inspection
2nd Street Market,78701,02/20/2014,88,200 SAN JACINTO BLVD,AUSTIN,78701,30.264001505000067,-97.74168983799996,10003368,Routine Inspection
2nd Street Market,78701,11/14/2012,85,200 SAN JACINTO BLVD,AUSTIN,78701,30.264001505000067,-97.74168983799996,10003368,Routine Inspection
2nd Street Market,78701,04/14/2015,95,200 SAN JACINTO BLVD,AUSTIN,78701,30.264001505000067,-97.74168983799996,10003368,Routine Inspection
2nd Street Market,78701,04/16/2013,94,200 SAN JACINTO BLVD,AUSTIN,78701,30.264001505000067,-97.74168983799996,10003368,Routine Inspection
